M,PSNR_global,PSNR_solution,PSNR_dx,PSNR_dy
2,21.12,11.03,20.56,18.25
4,21.1,10.97,20.54,18.24
8,21.01,10.94,20.53,18.1
16,21.03,10.96,20.57,18.11
32,21.11,10.98,20.57,18.24
64,21.07,11.1,20.59,18.16
128,21.14,11.43,20.56,18.25
256,21.97,12.16,21.17,19.22
