M,best_val,demo_psnr_global,demo_psnr_solution
2,0.580068,21.12,11.03
4,0.580656,21.1,10.97
8,0.574894,21.01,10.94
16,0.56937,21.03,10.96
32,0.582042,21.11,10.98
64,0.579006,21.07,11.1
128,0.588213,21.14,11.43
256,0.475201,21.97,12.16
